id,group,part,c1,c2,c3,c4,c5
1,reneri,1,"4,0","1,0","4,0","4,0","3,0"
2,pit,1,"4,0","4,0","4,0","4,0","4,0"
3,reneri,1,"4,0","2,0","2,0","3,0","3,5"
4,reneri,1,,,,,
5,reneri,1,"4,0","2,0","3,0","4,0","3,0"
6,reneri,1,"4,0","4,0","3,0","3,0","4,0"
7,reneri,1,"4,0","2,0","2,0","3,0","4,0"
8,reneri,1,,,,,
9,pit,1,"1,0","1,0","1,0","1,0","1,0"
10,reneri,1,"4,0","1,0","2,0","3,0","3,0"
11,reneri,1,"4,0","2,0","2,0","2,0","3,0"
12,pit,1,"4,0","1,0","1,0","4,0","2,0"
13,reneri,1,"4,0","2,0","2,0","4,0","4,0"
14,pit,1,"4,0","1,0","2,0","4,0","4,0"
15,pit,1,"4,0","2,0","3,0","3,0","4,0"
16,reneri,1,,,,,
17,reneri,1,"4,0","3,0","2,0","4,0","4,0"
18,pit,1,"4,0","1,0","2,0","2,0","4,0"
19,pit,1,"4,0","3,0","3,0","2,0","3,0"
20,pit,1,"2,0","1,0","3,0","3,0","4,0"
21,pit,1,"2,0","1,0","2,0","4,0","3,0"
22,reneri,1,"4,0","3,0","3,0","4,0","3,0"
23,reneri,1,"4,0","2,0","3,0","3,0","4,0"
24,reneri,1,"4,0","1,0","2,0","4,0","2,0"
25,reneri,1,"4,0","3,0","4,0","3,0","3,0"
26,reneri,1,"4,0","1,0","1,0","4,0","2,0"
27,pit,1,"4,0","1,0","3,0","4,0","4,0"
28,pit,1,"1,0","1,0","2,0","3,0","2,0"
29,pit,1,"4,0","1,0","1,0","1,0","2,0"
30,pit,1,"4,0","4,0","4,0","4,0","4,0"
31,pit,1,"4,0","3,0","3,0","3,0","2,0"
32,reneri,1,"2,0","3,0","4,0","4,0","3,0"
33,pit,1,"4,0","1,0","1,0","3,0","2,0"
34,pit,1,"2,0","2,0","3,0","3,0","3,0"
35,reneri,1,"3,0","2,0","2,0","4,0","2,0"
36,reneri,1,"4,0","2,0","2,0","3,0","4,0"
37,pit,1,"4,0","4,0","4,0","2,0","3,0"
38,pit,1,"4,0","1,0","3,0","3,0","3,0"
39,pit,1,"4,0","2,0","3,0","4,0","2,0"
40,reneri,1,"5,0","4,0","3,0","4,0","2,0"
41,pit,1,"4,0","3,0","3,0","2,0","3,0"
42,pit,1,"3,0","1,0","2,0","3,0","3,0"
43,reneri,1,"4,0","2,0","2,0","4,0","3,0"
1,reneri,2,"4,0","1,0","4,0",,"3,0"
2,pit,2,,,,,
3,reneri,2,"4,0","3,0","3,0","3,5","3,5"
4,reneri,2,,,,,
5,reneri,2,"4,0","1,0","3,0","4,0","3,0"
6,reneri,2,"3,0","2,0","2,0","3,0","4,0"
7,reneri,2,"4,0","2,5","2,5","3,5","4,0"
8,reneri,2,"3,0","2,0","2,0","3,0","3,0"
9,pit,2,"1,0","1,0","1,0","1,0","1,0"
10,reneri,2,"3,0","1,0","2,0","2,0","1,0"
11,reneri,2,"4,0","2,0","2,0","3,0",
12,pit,2,"4,0","3,0","3,0","4,0","3,0"
13,reneri,2,"4,0","3,0","2,0","4,0","4,0"
14,pit,2,"4,0","3,0","3,0","4,0","4,0"
15,pit,2,"4,0","3,0","3,0","4,0","4,0"
16,reneri,2,,,,,
17,reneri,2,"4,0","2,0","3,0","3,0","5,0"
18,pit,2,"4,0","1,0","1,0","2,0","4,0"
19,pit,2,"4,0","3,0","3,0","3,0","3,0"
20,pit,2,"1,0","1,0","1,0","3,0","4,0"
21,pit,2,"1,0","1,0","1,0","2,0","2,0"
22,reneri,2,"2,0","2,0","3,0","4,0","2,0"
23,reneri,2,"4,0","3,0","4,0","3,0","4,0"
24,reneri,2,"4,0","1,0","4,0","4,0","4,0"
25,reneri,2,"4,0","3,0","4,0","3,0","3,0"
26,reneri,2,"3,0","1,0","1,0","3,0","2,0"
27,pit,2,"4,0","3,0","4,0","4,0","4,0"
28,pit,2,"2,0","1,0","1,0","2,0","2,0"
29,pit,2,"4,0","2,0","2,0","1,0","3,0"
30,pit,2,"4,0","4,0","4,0","4,0","4,0"
31,pit,2,"4,0","3,0","3,0","4,0","3,0"
32,reneri,2,"2,0","3,0","4,0","3,0",
33,pit,2,"2,0","1,0","1,0","2,0","2,0"
34,pit,2,"4,0","3,0","2,0","3,0","3,0"
35,reneri,2,"3,0","1,0","2,0","1,0","4,0"
36,reneri,2,"4,0","3,0","3,0","4,0","4,0"
37,pit,2,"4,0","4,0","4,0","2,0","3,0"
38,pit,2,"2,0","1,0","1,0","1,0","4,0"
39,pit,2,"3,0","1,0","2,0","3,0","1,0"
40,reneri,2,"4,0","3,0","4,0","4,0","2,0"
41,pit,2,"4,0","1,0","2,0","3,0","0,0"
42,pit,2,"3,0","2,0","3,0","3,0","3,0"
43,reneri,2,"4,0","3,0","2,0","3,0","3,0"
