id,group,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14
1,reneri,,,,,,,,,,,,,,
2,pit,3,1,1,2,1,1,1,1,1,1,2,1,1,2
3,reneri,2,2,1,1,1,1,2,1,1,2,2,1,1,1
4,reneri,1,1,2,3,1,2,2,1,1,3,2,1,1,1
5,reneri,3,2,2,3,2,2,2,1,2,1,2,1,1,1
6,reneri,2,1,2,2,1,2,2,1,1,1,1,1,2,3
7,reneri,2,2,1,1,1,1,2,1,1,2,2,1,1,1
8,reneri,3,2,2,3,2,2,2,1,1,2,2,1,2,2
9,pit,2,1,1,3,1,1,2,1,1,3,1,1,1,1
10,reneri,2,3,3,2,3,2,1,1,1,2,1,1,2,1
11,reneri,2,3,3,3,2,3,1,1,1,3,2,1,1,1
12,pit,2,3,1,3,1,1,1,1,1,1,2,1,1,2
13,reneri,2,2,2,3,2,2,2,1,1,2,2,1,1,1
14,pit,2,1,1,3,2,2,2,1,1,2,2,1,1,1
15,pit,4,3,2,2,1,2,1,1,1,1,2,2,1,2
16,reneri,2,2,1,3,1,1,1,1,1,3,2,1,3,1
17,reneri,3,2,2,1,2,2,2,1,1,2,2,1,1,2
18,pit,2,1,1,1,2,2,2,1,1,1,2,1,1,1
19,pit,3,3,1,3,2,2,2,1,1,1,2,1,1,1
20,pit,2,2,1,3,2,2,1,1,1,2,2,1,2,2
21,pit,3,2,2,3,3,3,2,1,1,3,2,1,1,1
22,reneri,3,1,2,3,2,2,1,1,1,2,2,1,2,1
23,reneri,3,2,2,2,1,3,2,1,1,1,1,1,3,1
24,reneri,2,2,1,1,1,1,2,1,1,2,2,1,2,1
25,reneri,3,3,2,3,1,2,2,1,1,1,2,1,1,1
26,reneri,2,2,1,1,1,1,3,1,1,2,2,1,1,1
27,pit,3,2,2,3,2,2,1,1,1,2,2,1,1,1
28,pit,2,2,1,3,2,2,2,1,1,2,2,1,1,1
29,pit,2,2,2,3,2,2,1,1,1,3,2,1,3,1
30,pit,4,4,3,3,1,3,2,1,1,1,3,1,1,1
31,pit,2,2,2,1,2,1,2,1,1,1,2,1,2,1
32,reneri,2,1,1,3,1,1,1,1,1,3,2,2,1,2
33,pit,2,2,2,3,1,1,1,1,1,2,2,1,2,1
34,pit,2,2,2,3,1,2,2,1,1,3,3,1,3,1
35,reneri,2,2,1,1,1,1,1,1,1,2,1,1,1,1
36,reneri,2,2,1,1,2,1,2,1,2,2,2,1,1,1
37,pit,2,2,1,3,1,1,2,1,1,1,3,1,1,1
38,pit,2,3,2,3,3,2,1,1,1,2,1,1,1,1
39,pit,2,2,2,3,1,2,2,1,1,2,2,1,2,1
40,reneri,2,3,2,2,2,3,2,1,1,1,3,1,1,2
41,pit,3,2,3,4,2,1,2,1,1,2,3,1,2,1
42,pit,2,2,2,1,1,2,2,1,1,2,2,1,2,1
43,reneri,,,,,,,,,,,,,,
